time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/n_updates,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/learning_rate
379,288,166.98140727999998,548.55,137296,362,15904,18.685691341757774,-3.976380378007889,0.21585142193362117,-101.14078187942505,0.0001
384,292,169.46366028999998,549.51,139200,362,16128,15.437422901391983,-3.9754729196429253,0.21148388972505927,-100.85064840316772,0.0001
393,296,168.75123992000002,555.26,142096,360,16512,18.703586921095848,-3.9074528962373734,0.20420950278639793,-100.25698781013489,0.0001
401,300,170.0525305,555.26,144000,358,16736,17.356639608740807,-3.9607129618525505,0.20007389364764094,-100.29921627044678,0.0001
412,304,167.84148818000003,560.51,146896,356,17088,18.910811230540276,-3.88044835627079,0.19376059249043465,-99.05563545227051,0.0001
420,308,171.45681139,565.46,148800,354,17344,14.378777116537094,-3.94936540722847,0.1892285724170506,-98.65894508361816,0.0001
429,312,169.3382515,565.46,151696,353,17696,16.576427415013313,-4.072762541472912,0.18308497546240687,-97.60138368606567,0.0001
435,316,170.38546656,565.46,153600,352,17920,14.209357425570488,-4.089760832488537,0.17920159921050072,-97.58681392669678,0.0001
446,320,166.96596595000003,565.46,156496,350,18304,14.753885835409164,-4.255390293896198,0.1726802815683186,-96.34330153465271,0.0001
451,324,169.99650561000007,564.23,158000,350,18496,15.689848691225052,-4.110878311097622,0.1695450902916491,-95.30111980438232,0.0001
462,328,172.47095937000003,564.23,161296,349,18912,14.096788495779037,-4.2477452754974365,0.16289163939654827,-93.70446872711182,0.0001
466,332,178.22073734999998,564.23,162800,349,19072,13.528348624706268,-4.262573212385178,0.16038463730365038,-92.77149677276611,0.0001
473,336,180.08301625999997,565.05,164824,348,19328,14.24518895149231,-4.0128099992871284,0.15657113399356604,-91.2734546661377,0.0001
482,340,178.79521562999997,565.05,167600,347,19680,15.42048342525959,-4.188961386680603,0.15138529613614082,-90.02165031433105,0.0001
488,344,176.91884614000003,565.05,169624,347,19936,13.969253942370415,-4.138530321419239,0.14764797827228904,-88.36338710784912,0.0001
497,348,183.18040907,569.46,172040,345,20256,14.345914363861084,-3.8103399500250816,0.1432953984476626,-87.08017563819885,0.0001
503,352,185.42042867000004,577.22,173976,345,20480,14.767338126897812,-3.7843238785862923,0.14069178886711597,-86.8317608833313,0.0001
510,356,180.53588605000004,567.32,176112,345,20736,13.797884240746498,-2.954387202858925,0.1378791257739067,-86.09420537948608,0.0001
515,360,182.37572666999998,562.21,177696,344,20960,16.36654831469059,-2.8438533172011375,0.13560449052602053,-86.56799650192261,0.0001
519,364,180.11009329999996,559.42,179368,345,21152,16.27848970890045,-2.822704181075096,0.1335557852871716,-86.17442846298218,0.0001
523,368,182.35189013000002,551.59,180496,344,21312,13.992034777998924,-2.9234395250678062,0.13191886292770505,-86.30973100662231,0.0001
533,372,189.42830198,551.59,184168,345,21760,14.40808267891407,-2.906521715223789,0.12743875291198492,-86.05564594268799,0.0001
536,376,192.23172607000004,551.59,185296,345,21888,15.196432456374168,-2.8940911889076233,0.126080933958292,-85.7267758846283,0.0001
541,380,194.72192935000004,545.85,187296,345,22144,13.871761783957481,-2.920119784772396,0.12345227599143982,-85.6544337272644,0.0001
547,384,197.15330342000001,546.64,189400,345,22400,12.289318859577179,-3.008993774652481,0.1206360321957618,-84.5225305557251,0.0001
557,388,191.47404805000002,547.16,192096,344,22752,11.966669619083405,-3.2611937820911407,0.11677806777879596,-83.01458859443665,0.0001
563,392,188.02680703,552.02,194200,344,23008,12.608313798904419,-3.8616717159748077,0.11382512329146266,-81.90727996826172,0.0001
571,396,189.90817790999998,552.02,196896,344,23360,12.689096823334694,-3.9581730514764786,0.1097406551707536,-79.96036553382874,0.0001
577,400,187.61375753000002,552.02,199000,344,23616,12.529568284749985,-3.883617013692856,0.10675111459568143,-78.93726658821106,0.0001
