rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/ent_coef,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss
257.58149633,143792,398,444.55,360,312,0.0515183248789981,-32.374120354652405,16704,0.05698092863894999,0.0003,10.406906515359879
253.03785985,144472,398,457.71,362,316,0.05140448291786015,-32.319173753261566,16800,-0.1110032475553453,0.0003,12.46545097231865
260.21822213999997,146320,398,448.81,367,320,0.05073478142730892,-33.03640902042389,17024,0.1775515521876514,0.0003,12.602034032344818
256.39963962,149040,397,458.19,374,324,0.05133952770847827,-31.737857401371002,17376,0.0025129045825451612,0.0003,12.000413477420807
259.97106392,150864,397,456.01,379,328,0.05073919321876019,-32.02789831161499,17600,0.4047344697173685,0.0003,14.115319296717644
264.4310317,152296,397,453.51,383,332,0.051484394003637135,-32.0641747713089,17760,0.3972803018987179,0.0003,12.726194396615028
273.74376589,154160,396,455.5,388,336,0.052537588868290186,-31.52384877204895,18016,0.21970670018345118,0.0003,13.301793709397316
273.43365992,155376,396,454.1,391,340,0.05297995777800679,-31.755582749843597,18144,0.39729147404432297,0.0003,13.44158311188221
278.98434542,158256,396,459.86,398,344,0.05392324412241578,-31.584217727184296,18528,-0.3873035099823028,0.0003,11.020677387714386
286.41567699,159968,396,464.31,403,348,0.05291716649662703,-31.847157657146454,18720,0.23124610329978168,0.0003,13.596270278096199
291.55341185000003,160880,396,450.34,405,352,0.05346078146249056,-31.779014587402344,18848,0.2124912425642833,0.0003,12.571979492902756
288.80888467999995,161872,396,434.23,408,356,0.05409345601219684,-31.788610696792603,18976,0.4226173278875649,0.0003,12.87006139755249
293.61045196000003,163368,396,435.66,411,360,0.054282936034724116,-32.023038148880005,19168,0.09945057216100395,0.0003,13.335947483778
287.62617256000004,165272,396,430.01,416,364,0.0542782669654116,-32.34139567613602,19392,0.06732024531811476,0.0003,11.387177273631096
286.54165661999997,166944,395,437.19,421,368,0.0544652579119429,-31.71210378408432,19616,0.027106454828754067,0.0003,15.09338890016079
281.69134461,168352,395,435.09,425,372,0.054993939702399075,-31.605399549007416,19776,-0.18214754154905677,0.0003,13.019118160009384
275.89348664,171064,395,438.89,432,376,0.05585546651855111,-31.55937522649765,20128,0.056598493130877614,0.0003,11.891491070389748
282.21348042,171976,395,441.27,434,380,0.05611413740552962,-31.02082133293152,20224,0.20301601965911686,0.0003,12.359684437513351
283.96862452999994,175864,395,444.16,444,384,0.05529689509421587,-30.757340610027313,20704,-0.2644664894323796,0.0003,13.016748771071434
287.51265919,176776,394,446.34,447,388,0.05464494344778359,-30.548836946487427,20832,-0.2548050342593342,0.0003,11.662685170769691
297.12898186,178216,394,442.94,452,392,0.05402298329863697,-30.73080837726593,21024,-0.04386089649051428,0.0003,12.363823145627975
300.84580647,181104,393,442.48,460,396,0.053029792150482535,-30.85301160812378,21376,0.1920348727144301,0.0003,13.385600417852402
298.61161743,181576,393,441.64,461,400,0.05312134639825672,-30.01924431324005,21440,-0.36591945705004036,0.0003,13.047271057963371
305.18778219,182632,393,435.12,464,404,0.05274507135618478,-30.458244740962982,21568,0.3807072201743722,0.0003,12.59230925142765
306.69352896000004,185464,393,432.53,471,408,0.05405966250691563,-30.663460314273834,21920,0.19693261315114796,0.0003,14.781420275568962
305.17217619,187344,393,442.82,476,412,0.054504084517247975,-30.77723389863968,22144,0.04865490458905697,0.0003,12.960320979356766
307.88413521,190176,393,438.22,483,416,0.05412094481289387,-30.738743126392365,22496,0.0014331773854792118,0.0003,13.01842175424099
306.34265562,191512,393,453.27,487,420,0.05353858042508364,-30.718954861164093,22688,-0.012453830102458596,0.0003,14.792268633842468
306.96890618000003,192920,392,444.46,491,424,0.054411559482105076,-30.395165264606476,22848,-0.13418016850482672,0.0003,14.85231564939022
308.13593734,195064,393,444.41,496,428,0.0546663764398545,-30.737884879112244,23104,0.3566352459602058,0.0003,13.95174141228199
311.52167576,196944,392,443.7,501,432,0.05436486087273806,-30.71811306476593,23360,0.2113255923613906,0.0003,14.176751807332039
307.71556480000004,199776,392,448.23,509,436,0.05378132755868137,-30.84512621164322,23712,-0.016654794104397297,0.0003,14.31705304980278
