episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
356,59325,-15.7836,24,1,17.97
357,59342,5.6109,17,1,21.97
358,59397,31.0062,55,1,36.91
359,59456,71.1811,59,1,52.83
360,59485,28.1628,29,1,23.93
361,59555,-4.5055,70,1,27.83
362,59690,236.696,135,2,68.46
363,59754,79.7985,64,1,47.07
364,59895,107.1718,141,1,52.25
365,60346,477.018,451,3,68.95
366,60394,8.7137,48,1,41.31
367,60475,4.976,81,1,41.02
368,60832,438.3564,357,3,70.51
369,60872,-27.7013,40,1,26.07
370,60926,-34.4145,54,1,25.68
371,61051,178.5434,125,2,64.26
372,61401,241.6891,350,3,80.18
373,61479,109.8274,78,2,64.45
374,61525,-9.432,46,1,40.04
375,61542,-18.1583,17,1,37.5
376,61578,54.9816,36,1,47.56
377,61600,7.7727,22,1,42.48
378,61622,7.8764,22,1,19.43
379,61919,361.7171,297,3,81.74
380,61981,27.4841,62,1,42.68
381,62050,-3.3811,69,1,38.48
382,62092,57.5504,42,1,51.37
383,62168,22.6495,76,1,41.99
384,62199,-7.1195,31,1,40.14
385,62799,209.3916,600,3,81.25
386,62821,-21.8648,22,1,16.21
387,62912,130.9077,91,1,45.41
388,62949,-10.99,37,1,27.54
389,63025,140.5535,76,2,65.62
390,63134,86.5386,109,1,53.12
391,63266,4.7432,132,1,42.77
392,63493,342.5613,227,2,64.94
393,63716,406.5895,223,4,81.25
394,63779,76.7328,63,1,47.56
395,63908,204.3212,129,2,53.81
396,64257,532.6261,349,4,81.93
397,64282,-16.0364,25,1,18.46
398,64299,-9.7656,17,1,41.8
399,64501,322.2086,202,3,81.45
400,64515,0.1344,14,1,45.12
401,64570,10.842,55,1,39.26
402,64581,-8.5299,11,1,40.72
403,64824,338.982,243,3,71.39
404,64878,77.0286,54,1,45.7
405,64980,43.0835,102,1,30.18
406,65215,316.5223,235,3,75.1
407,65428,330.5773,213,3,85.06
408,65655,265.5497,227,2,60.64
409,65702,50.3545,47,1,47.46
410,65946,367.9685,244,4,81.74
411,66133,332.3499,187,3,77.73
412,66330,203.9904,197,2,53.22
413,66753,63.8579,423,2,62.01
